epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1059.53,0.26683,0.96917,1,0.07381,0.000554173,0.000554173,0.000554173
2,1930.81,0.125,0.96582,1,0.09734,0.00106589,0.00106589,0.00106589
3,2723.26,0.14586,0.96984,1,0.06815,0.0015336,0.0015336,0.0015336
4,4086.64,0.12323,0.98525,1,0.04288,0.00146896,0.00146896,0.00146896
5,4911.58,0.10396,0.98123,1,0.04237,0.00140295,0.00140295,0.00140295
6,5842.35,0.08529,0.98592,1,0.03356,0.00133693,0.00133693,0.00133693
7,6392.18,0.06996,0.99129,1,0.02638,0.00127092,0.00127092,0.00127092
8,7982.34,0.06969,0.98861,1,0.02555,0.00120491,0.00120491,0.00120491
9,9129.26,0.05219,0.98861,1,0.02628,0.00113889,0.00113889,0.00113889
10,9613.59,0.04711,0.98995,1,0.02063,0.00107288,0.00107288,0.00107288
11,10093.2,0.0483,0.99263,1,0.02322,0.00100687,0.00100687,0.00100687
12,10555.7,0.04635,0.99062,1,0.02871,0.000940855,0.000940855,0.000940855
13,10997.8,0.03918,0.9933,1,0.01824,0.000874842,0.000874842,0.000874842
14,11474.1,0.03502,0.9933,1,0.02032,0.000808828,0.000808828,0.000808828
15,12109.8,0.03906,0.99062,1,0.02226,0.000742815,0.000742815,0.000742815
16,12865.2,0.03365,0.99062,1,0.02589,0.000676802,0.000676802,0.000676802
17,14164.8,0.03069,0.99196,1,0.019,0.000610789,0.000610789,0.000610789
18,15383,0.02484,0.99196,1,0.02015,0.000544776,0.000544776,0.000544776
19,16797.4,0.02251,0.99397,1,0.01735,0.000478762,0.000478762,0.000478762
20,21366.7,0.02276,0.9933,1,0.01813,0.000412749,0.000412749,0.000412749
21,21950.2,0.0198,0.99464,1,0.019,0.000346736,0.000346736,0.000346736
22,22591.5,0.01654,0.99263,1,0.0219,0.000280723,0.000280723,0.000280723
23,24229.9,0.01948,0.9933,1,0.0196,0.00021471,0.00021471,0.00021471
24,30703.3,0.0147,0.9933,1,0.01861,0.000148696,0.000148696,0.000148696
25,31850,0.01293,0.99263,1,0.01962,8.26832e-05,8.26832e-05,8.26832e-05
